temp,RH
8.2,51
18,33
14.6,33
8.3,97
11.4,99
22.2,29
24.1,27
8,86
13.1,63
22.8,40
17.8,51
19.3,38
17,72
21.3,42
26.4,21
22.9,44
15.1,27
16.7,47
15.9,35
9.3,44
18.3,40
19.1,38
21,44
19.5,43
23.7,32
16.3,60
19,34
19.4,48
30.2,24
22.8,39
25.4,24
11.2,78
20.6,37
17.7,39
21.2,32
18.2,62
21.7,24
11.3,60
17.8,27
14.1,43
23.3,37
18.4,42
16.6,54
19.6,48
12.9,74
25.9,24
14.7,70
23,36
11.8,35
11,46
20.8,17
21.5,34
20.4,42
20.4,42
17.6,45
27.7,24
17.8,63
13.8,50
13.9,40
12.3,51
11.5,39
5.5,59
18.8,35
20.8,33
23.1,31
18.6,44
23,37
19.6,33
19.6,33
17.2,26
15.8,27
17.7,37
15.6,25
17.3,43
27.6,30
6.7,79
15.7,43
8.3,72
14.7,66
21.6,19
19.5,39
17.9,44
18.6,51
16.6,47
20.2,45
21.5,15
25.4,27
22.4,34
25.3,36
17.4,25
14.7,59
17.4,24
20.8,32
18.2,43
23.4,22
17.8,64
12.7,48
17.4,24
11.6,87
19.8,39
19.8,39
14.4,66
20.1,40
24.1,29
5.3,78
12.7,52
18.2,29
21.4,33
20.3,45
17.4,56
13.7,43
18.8,18
22.8,39
18.9,35
15.8,27
15.5,27
11.6,30
15.2,27
10.6,30
19.6,36
10.3,74
17.1,43
22.5,42
17.9,45
19.8,50
20.6,24
9,49
17.2,43
15.9,46
15.4,35
15.4,40
14,39
10.6,46
17.6,42
14.9,38
17.6,52
17.2,58
15.6,66
18,42
21.7,38
21.9,39
23.3,31
21.2,51
16.6,53
23.8,32
27.4,22
13.2,40
24.2,28
17.4,43
23.7,25
23.2,39
24.8,29
24.6,43
20.1,47
29.6,27
16.4,47
28.6,27
18.4,45
20.5,35
19,34
16.1,29
20.3,41
15.2,31
17.8,56
17.8,67
5.3,70
16.6,47
23.4,33
14.6,26
20.7,45
21.9,35
17.4,50
20.1,39
17.7,39
14.2,53
20.3,39
5.8,54
19.2,44
18.3,45
14.4,66
23.9,32
19.1,32
12.4,53
16.8,45
20.8,34
17.6,46
11.5,39
21,42
13.3,42
11.5,60
11.7,33
24.2,28
24.6,22
24.3,25
24.6,22
23.5,36
5.8,54
21.5,15
13.9,59
22.6,38
21.6,33
12.4,54
8.8,68
20.2,37
15.1,64
22.1,34
22.9,31
20.7,37
19.6,33
23.2,26
18.4,25
5.1,96
20.1,47
11,46
17,27
17,27
16.9,60
12.4,73
19.4,19
15.2,27
16.2,59
18.6,49
11,46
13.4,79
15.4,57
22.9,39
16.1,44
20.1,34
28.3,26
16.4,43
26.4,21
27.8,27
18.7,43
24.3,36
17.7,25
19.6,41
18.2,46
18.8,40
25.1,27
13.4,75
15.2,51
16.7,20
15.4,66
21.9,73
22.4,54
26.8,38
25.7,39
20.7,70
28.7,28
21.7,40
26.8,25
24,36
22.1,37
21.4,38
18.9,41
22.3,46
23.9,41
21.4,44
20.6,59
23.7,40
28.3,32
11.2,84
21.4,42
19.3,39
21.8,53
22.1,54
19.4,55
23.7,24
21,32
19.1,53
21.8,56
20.1,58
20.2,47
4.8,57
5.1,61
5.1,61
4.6,21
4.6,21
4.6,21
4.6,21
2.2,59
5.1,24
4.2,51
8.8,35
7.5,46
23.4,40
12.6,90
22.1,49
24.2,32
24.3,30
18.7,53
25.3,39
22.9,40
26.9,28
17.1,67
22.2,48
14.3,46
15.4,45
19.6,43
10.6,90
20.7,25
19.1,39
19.2,38
19.2,38
11.3,94
19,52
17.1,53
23.8,35
16,45
24.9,27
25.3,27
24.8,28
12.2,78
24.3,27
19.7,41
18.5,30
18.6,24
19.2,24
21.6,27
21.6,28
18.9,34
16.8,28
16.8,28
12.9,39
13.7,56
24.2,27
24.1,27
21.2,32
19.7,35
23.5,27
24.2,27
21.5,28
17.1,41
18.1,54
18,51
9.8,86
19.3,44
23,34
22.7,35
20.4,41
19.3,44
15.7,51
20.6,37
15.9,51
12.2,66
16.8,43
21.3,35
10.1,75
17.4,57
12.8,64
10.1,75
15.4,53
20.6,43
19.8,47
18.7,50
20.8,35
20.8,35
15.9,55
19.7,39
21.1,39
18.4,42
17.3,45
15.2,64
15.9,53
21.1,35
19.6,45
15.9,38
16.4,27
16.8,47
13.8,77
13.8,77
14.2,58
10.4,75
20.3,42
10.3,78
15.4,57
21.1,54
21.9,42
8.7,51
5.2,100
19.3,39
16.2,63
28.2,29
20.5,58
21.3,44
20.9,50
20.6,55
11.6,48
23.3,34
23.3,34
7.5,71
20.7,46
21.9,43
15.2,19
